type,latitude,longitude,alt,speed,course
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030152,1036.400000,0.610000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030150,1036.400000,0.270000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905833,-114.030148,1036.400000,0.300000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905835,-114.030147,1036.400000,0.330000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905830,-114.030148,1036.400000,0.340000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.400000,0.130000,57.730000
T,50.905828,-114.030148,1036.500000,0.130000,57.730000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905828,-114.030148,1036.500000,0.640000,304.680000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.500000,0.860000,289.480000
T,50.905832,-114.030157,1036.600000,0.860000,289.480000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905833,-114.030160,1036.600000,0.660000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905835,-114.030163,1036.600000,0.610000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
